iter,trueNorm,normR
0,1.000000e+00,1.000000e+00
1,5.488979e-01,5.488979e-01
2,4.724953e-01,4.724953e-01
3,4.065602e-01,4.065602e-01
4,3.192130e-01,3.192130e-01
5,2.697705e-01,2.697705e-01
6,2.465080e-01,2.465080e-01
7,2.348696e-01,2.348696e-01
8,2.149656e-01,2.149656e-01
9,1.840903e-01,1.840903e-01
10,1.486521e-01,1.486521e-01
11,1.174702e-01,1.174702e-01
12,8.854495e-02,8.854495e-02
13,5.543928e-02,5.543928e-02
14,4.162799e-02,4.162799e-02
15,3.095510e-02,3.095510e-02
16,2.212000e-02,2.212000e-02
17,9.210270e-03,9.210270e-03
18,3.378833e-03,3.378833e-03
19,6.004883e-04,6.004883e-04
20,1.153953e-04,1.153953e-04
21,1.199035e-15,3.906152e-16
