iter,trueNorm,normR
0,7.413136e-01,7.413136e-01
1,1.366354e-01,1.366354e-01
2,1.175781e-01,1.175781e-01
3,9.216809e-02,9.216809e-02
4,8.654032e-02,8.654032e-02
5,7.931476e-02,7.931476e-02
6,7.927229e-02,7.927229e-02
7,7.710483e-02,7.710483e-02
8,7.543197e-02,7.543197e-02
9,7.476620e-02,7.476620e-02
10,7.390489e-02,7.390489e-02
11,7.229028e-02,7.229028e-02
12,7.168134e-02,7.168134e-02
13,7.030397e-02,7.030397e-02
14,6.786427e-02,6.786427e-02
15,6.692577e-02,6.692577e-02
16,6.491116e-02,6.491116e-02
17,6.268518e-02,6.268518e-02
18,6.126705e-02,6.126705e-02
19,5.928747e-02,5.928747e-02
20,5.905696e-02,5.905696e-02
21,5.577178e-02,5.577178e-02
22,5.510384e-02,5.510384e-02
23,5.311134e-02,5.311134e-02
24,5.181686e-02,5.181686e-02
25,5.013855e-02,5.013855e-02
26,4.971538e-02,4.971538e-02
27,4.949491e-02,4.949491e-02
28,4.574454e-02,4.574454e-02
29,4.463747e-02,4.463747e-02
30,4.314834e-02,4.314834e-02
31,4.304440e-02,4.304440e-02
32,4.104723e-02,4.104723e-02
33,3.969854e-02,3.969854e-02
34,3.894658e-02,3.894658e-02
35,3.665032e-02,3.665032e-02
36,3.567597e-02,3.567597e-02
37,3.447954e-02,3.447954e-02
38,3.181839e-02,3.181839e-02
39,3.093498e-02,3.093498e-02
40,2.696711e-02,2.696711e-02
41,2.508902e-02,2.508902e-02
42,2.309703e-02,2.309703e-02
43,2.167261e-02,2.167261e-02
44,2.038059e-02,2.038059e-02
45,1.677966e-02,1.677966e-02
46,1.551250e-02,1.551250e-02
47,1.397678e-02,1.397678e-02
48,1.218636e-02,1.218636e-02
49,1.048303e-02,1.048303e-02
50,9.176672e-03,9.176672e-03
51,8.076523e-03,8.076523e-03
52,7.239998e-03,7.239998e-03
53,5.666561e-03,5.666561e-03
54,4.506735e-03,4.506735e-03
55,3.998958e-03,3.998958e-03
56,3.221984e-03,3.221984e-03
57,2.675049e-03,2.675049e-03
58,2.300248e-03,2.300248e-03
59,1.964866e-03,1.964866e-03
60,1.640721e-03,1.640721e-03
61,1.409737e-03,1.409737e-03
62,1.168098e-03,1.168098e-03
63,8.795984e-04,8.795984e-04
64,6.369373e-04,6.369373e-04
65,4.731328e-04,4.731328e-04
66,3.698261e-04,3.698261e-04
67,3.091230e-04,3.091230e-04
68,2.385381e-04,2.385381e-04
69,1.828580e-04,1.828580e-04
70,1.374321e-04,1.374321e-04
71,1.019546e-04,1.019546e-04
72,7.844692e-05,7.844692e-05
73,5.337432e-05,5.337432e-05
74,3.896894e-05,3.896894e-05
75,2.981990e-05,2.981990e-05
76,1.785683e-05,1.785683e-05
77,1.022398e-05,1.022398e-05
78,5.346556e-06,5.346556e-06
79,2.598851e-06,2.598851e-06
80,1.333449e-06,1.333449e-06
81,6.676842e-07,6.676842e-07
