iter,c,C
1,1.285795e+00,1.285795e+00
2,3.852006e-01,1.304481e+00
3,2.145405e-01,1.324382e+00
4,1.884039e-01,1.345408e+00
5,1.770881e-01,1.366877e+00
6,1.709369e-01,1.387819e+00
7,1.677244e-01,1.410796e+00
8,1.648428e-01,1.435377e+00
9,1.631734e-01,1.459301e+00
10,1.622207e-01,1.484996e+00
11,1.614848e-01,1.512046e+00
12,1.609395e-01,1.537909e+00
13,1.604666e-01,1.563214e+00
14,1.595769e-01,1.593543e+00
15,1.593197e-01,1.621763e+00
16,1.592145e-01,1.647812e+00
17,1.591716e-01,1.675377e+00
18,1.591218e-01,1.702924e+00
19,1.590742e-01,1.727834e+00
20,1.589730e-01,1.750365e+00
21,1.589058e-01,1.770871e+00
22,1.588748e-01,1.792984e+00
23,1.587749e-01,1.812539e+00
24,1.587251e-01,1.832728e+00
25,1.586704e-01,1.851231e+00
26,1.585629e-01,1.872320e+00
27,1.585280e-01,1.889802e+00
28,1.584686e-01,1.909539e+00
29,1.584122e-01,1.925124e+00
30,1.583943e-01,1.937160e+00
31,1.583915e-01,1.952158e+00
32,1.583898e-01,1.967148e+00
33,1.583840e-01,1.983832e+00
34,1.583465e-01,1.994856e+00
35,1.583354e-01,2.005499e+00
36,1.583195e-01,2.018115e+00
37,1.583022e-01,2.031329e+00
38,1.582185e-01,2.044590e+00
39,1.581532e-01,2.055989e+00
40,1.581332e-01,2.065799e+00
41,1.581075e-01,2.077427e+00
42,1.581042e-01,2.089594e+00
43,1.580841e-01,2.098570e+00
44,1.580753e-01,2.109922e+00
45,1.580198e-01,2.122497e+00
46,1.578986e-01,2.132815e+00
47,1.578728e-01,2.140658e+00
48,1.578287e-01,2.151187e+00
49,1.578260e-01,2.162119e+00
50,1.577605e-01,2.169494e+00
51,1.577588e-01,2.177608e+00
52,1.577110e-01,2.188045e+00
53,1.577021e-01,2.196507e+00
54,1.576795e-01,2.205217e+00
55,1.576573e-01,2.213243e+00
56,1.576496e-01,2.222533e+00
57,1.576143e-01,2.231648e+00
58,1.575880e-01,2.239657e+00
59,1.575614e-01,2.248380e+00
60,1.575437e-01,2.256578e+00
61,1.574869e-01,2.264302e+00
62,1.574857e-01,2.272732e+00
63,1.574810e-01,2.280348e+00
64,1.574779e-01,2.287629e+00
65,1.574722e-01,2.294682e+00
66,1.574695e-01,2.302216e+00
67,1.574448e-01,2.309557e+00
68,1.574311e-01,2.317574e+00
69,1.574196e-01,2.325388e+00
70,1.574004e-01,2.331970e+00
71,1.573995e-01,2.338530e+00
72,1.573886e-01,2.346161e+00
73,1.573883e-01,2.352394e+00
74,1.573834e-01,2.358787e+00
75,1.573822e-01,2.365653e+00
76,1.573694e-01,2.371557e+00
77,1.573694e-01,2.378108e+00
78,1.573651e-01,2.383840e+00
79,1.573643e-01,2.388637e+00
80,1.573634e-01,2.395027e+00
81,1.573617e-01,2.400873e+00
82,1.573604e-01,2.406564e+00
