level,mu,rho,iter_proper,converged_proper,iter_standard,converged_standard,c,C
1,1.000000e+00,1.000000e-04,25,1,21,1,6.387233e-02,8.631304e-01
1,1.000000e+00,1.000000e-03,25,1,21,1,6.387236e-02,8.631312e-01
1,1.000000e+00,1.000000e-02,25,1,21,1,6.387282e-02,8.631393e-01
1,1.000000e+00,1.000000e-01,25,1,21,1,6.387466e-02,8.632225e-01
1,1.000000e-01,1.000000e-04,25,1,25,1,2.019822e-01,8.313994e-01
1,1.000000e-01,1.000000e-03,25,1,25,1,2.019836e-01,8.314760e-01
1,1.000000e-01,1.000000e-02,25,1,26,1,2.019894e-01,8.308513e-01
1,1.000000e-01,1.000000e-01,26,1,27,1,2.021307e-01,8.371643e-01
1,1.000000e-02,1.000000e-04,25,1,29,1,8.631393e-02,2.629358e+00
1,1.000000e-02,1.000000e-03,25,1,30,1,8.632225e-02,2.627382e+00
1,1.000000e-02,1.000000e-02,26,1,30,1,8.642316e-02,2.647346e+00
1,1.000000e-02,1.000000e-01,38,1,43,1,8.890808e-02,2.538741e+00
1,1.000000e-03,1.000000e-04,25,1,33,1,2.729749e-02,8.308513e+00
1,1.000000e-03,1.000000e-03,26,1,34,1,2.732940e-02,8.371643e+00
1,1.000000e-03,1.000000e-02,38,1,50,1,2.811520e-02,8.028205e+00
1,1.000000e-03,1.000000e-01,83,1,95,1,3.358555e-02,9.291388e+00
2,1.000000e+00,1.000000e-04,23,1,19,1,2.298500e-02,5.482244e-01
2,1.000000e+00,1.000000e-03,23,1,19,1,2.298498e-02,5.482245e-01
2,1.000000e+00,1.000000e-02,23,1,19,1,2.298481e-02,5.482254e-01
2,1.000000e+00,1.000000e-01,23,1,19,1,2.298491e-02,5.482350e-01
2,1.000000e-01,1.000000e-04,23,1,23,1,7.268489e-02,3.078884e-01
2,1.000000e-01,1.000000e-03,23,1,23,1,7.268436e-02,3.080280e-01
2,1.000000e-01,1.000000e-02,23,1,23,1,7.268465e-02,3.476392e-01
2,1.000000e-01,1.000000e-01,24,1,24,1,7.269309e-02,3.389357e-01
2,1.000000e-02,1.000000e-04,23,1,27,1,5.482254e-02,9.740700e-01
2,1.000000e-02,1.000000e-03,23,1,27,1,5.482350e-02,1.099332e+00
2,1.000000e-02,1.000000e-02,24,1,28,1,5.483411e-02,1.071809e+00
2,1.000000e-02,1.000000e-01,42,1,49,1,5.503989e-02,1.071872e+00
2,1.000000e-03,1.000000e-04,23,1,30,1,1.733671e-02,3.476392e+00
2,1.000000e-03,1.000000e-03,24,1,32,1,1.734007e-02,3.389357e+00
2,1.000000e-03,1.000000e-02,42,1,58,1,1.740514e-02,3.389556e+00
2,1.000000e-03,1.000000e-01,190,1,235,1,1.955477e-02,3.588005e+00
3,1.000000e+00,1.000000e-04,23,1,18,1,8.157805e-03,3.630981e-01
3,1.000000e+00,1.000000e-03,23,1,18,1,8.157804e-03,3.630981e-01
3,1.000000e+00,1.000000e-02,23,1,18,1,8.157802e-03,3.630981e-01
3,1.000000e+00,1.000000e-01,23,1,18,1,8.157895e-03,3.630990e-01
3,1.000000e-01,1.000000e-04,23,1,22,1,2.579724e-02,1.148217e-01
3,1.000000e-01,1.000000e-03,23,1,22,1,2.579724e-02,1.148217e-01
3,1.000000e-01,1.000000e-02,23,1,22,1,2.579753e-02,1.259791e-01
3,1.000000e-01,1.000000e-01,24,1,23,1,2.580203e-02,1.300635e-01
3,1.000000e-02,1.000000e-04,23,1,25,1,3.630981e-02,3.628712e-01
3,1.000000e-02,1.000000e-03,23,1,25,1,3.630990e-02,3.983808e-01
3,1.000000e-02,1.000000e-02,24,1,27,1,3.631091e-02,4.112970e-01
3,1.000000e-02,1.000000e-01,43,1,48,1,3.632604e-02,4.182546e-01
3,1.000000e-03,1.000000e-04,23,1,29,1,1.148220e-02,1.259791e+00
3,1.000000e-03,1.000000e-03,24,1,31,1,1.148252e-02,1.300635e+00
3,1.000000e-03,1.000000e-02,43,1,55,1,1.148730e-02,1.322637e+00
3,1.000000e-03,1.000000e-01,302,1,371,1,1.168656e-02,1.347051e+00
