iter,c,C
1,1.740514e-01,1.740514e-01
2,1.740514e-01,2.668484e-01
3,1.740514e-01,3.040865e-01
4,1.740514e-01,3.114220e-01
5,1.740514e-01,3.216713e-01
6,1.740514e-01,3.226603e-01
7,1.740514e-01,3.226605e-01
8,1.740514e-01,3.236925e-01
9,1.740514e-01,3.264170e-01
10,1.740514e-01,3.265869e-01
11,1.740514e-01,3.300080e-01
12,1.740514e-01,3.306635e-01
13,1.740514e-01,3.308813e-01
14,1.740514e-01,3.308830e-01
15,1.596480e-01,3.314981e-01
16,1.400105e-01,3.315895e-01
17,1.252291e-01,3.319605e-01
18,1.144647e-01,3.325962e-01
19,1.059122e-01,3.327575e-01
20,9.790039e-02,3.332467e-01
21,9.096794e-02,3.333652e-01
22,8.682832e-02,3.333722e-01
23,8.339321e-02,3.333723e-01
24,8.060624e-02,3.334828e-01
25,7.868307e-02,3.349045e-01
26,7.743259e-02,3.360030e-01
27,7.660926e-02,3.361147e-01
28,7.604902e-02,3.362650e-01
29,7.556050e-02,3.370054e-01
30,7.518721e-02,3.374788e-01
31,7.481613e-02,3.377102e-01
32,7.449425e-02,3.378502e-01
33,7.423613e-02,3.379838e-01
34,7.401778e-02,3.382767e-01
35,7.387997e-02,3.383351e-01
36,7.376180e-02,3.383352e-01
37,7.368806e-02,3.383406e-01
38,7.364055e-02,3.384004e-01
39,7.360894e-02,3.386060e-01
40,7.359552e-02,3.386117e-01
41,7.357920e-02,3.388764e-01
42,7.356825e-02,3.389464e-01
43,7.355891e-02,3.389556e-01
