iter,trueNormR1,trueNormR2,normR1,normR2
0,2.395391e+00,8.217425e-17,2.395391e+00,8.217425e-17
1,1.349372e-01,5.522854e-01,1.349372e-01,5.522854e-01
2,6.128378e-02,3.782102e-01,6.128378e-02,3.782102e-01
3,3.786558e-02,2.987793e-01,3.786558e-02,2.987793e-01
4,2.437687e-02,2.404120e-01,2.437687e-02,2.404120e-01
5,1.510577e-02,1.896208e-01,1.510577e-02,1.896208e-01
6,8.125844e-03,1.392787e-01,8.125844e-03,1.392787e-01
7,3.897497e-03,9.654449e-02,3.897497e-03,9.654449e-02
8,1.929345e-03,6.795449e-02,1.929345e-03,6.795449e-02
9,9.584610e-04,4.790585e-02,9.584610e-04,4.790585e-02
10,4.724682e-04,3.363812e-02,4.724682e-04,3.363812e-02
11,2.369187e-04,2.382135e-02,2.369187e-04,2.382135e-02
12,1.220972e-04,1.710133e-02,1.220972e-04,1.710133e-02
13,6.634513e-05,1.260627e-02,6.634513e-05,1.260627e-02
14,3.656187e-05,9.358346e-03,3.656187e-05,9.358346e-03
15,1.968613e-05,6.866993e-03,1.968613e-05,6.866993e-03
16,1.063218e-05,5.046593e-03,1.063218e-05,5.046593e-03
17,5.911088e-06,3.762889e-03,5.911088e-06,3.762889e-03
18,3.419664e-06,2.862066e-03,3.419664e-06,2.862066e-03
19,2.061358e-06,2.222106e-03,2.061358e-06,2.222106e-03
20,1.314147e-06,1.774230e-03,1.314147e-06,1.774230e-03
21,8.662843e-07,1.440517e-03,8.662843e-07,1.440517e-03
22,5.848527e-07,1.183618e-03,5.848527e-07,1.183618e-03
23,4.006902e-07,9.796987e-04,4.006902e-07,9.796987e-04
24,2.650179e-07,7.967568e-04,2.650179e-07,7.967568e-04
25,1.710388e-07,6.400819e-04,1.710388e-07,6.400819e-04
26,1.047693e-07,5.009625e-04,1.047693e-07,5.009625e-04
27,6.158997e-08,3.840990e-04,6.158997e-08,3.840990e-04
28,3.528209e-08,2.907136e-04,3.528209e-08,2.907136e-04
29,1.903786e-08,2.135488e-04,1.903786e-08,2.135488e-04
30,1.004305e-08,1.551033e-04,1.004305e-08,1.551033e-04
31,5.371746e-09,1.134347e-04,5.371746e-09,1.134347e-04
32,2.742854e-09,8.105682e-05,2.742855e-09,8.105682e-05
33,1.419522e-09,5.831217e-05,1.419522e-09,5.831217e-05
34,7.513840e-10,4.242474e-05,7.513843e-10,4.242474e-05
35,4.155740e-10,3.155094e-05,4.155741e-10,3.155094e-05
36,2.217869e-10,2.304918e-05,2.217866e-10,2.304918e-05
37,1.164198e-10,1.669942e-05,1.164201e-10,1.669942e-05
38,5.917601e-11,1.190586e-05,5.917639e-11,1.190586e-05
39,2.884923e-11,8.312898e-06,2.884926e-11,8.312898e-06
40,1.398691e-11,5.788311e-06,1.398749e-11,5.788311e-06
41,6.616361e-12,3.981006e-06,6.616615e-12,3.981006e-06
42,3.146036e-12,2.745162e-06,3.146412e-12,2.745162e-06
43,1.517683e-12,1.906418e-06,1.517665e-12,1.906418e-06
