iter,trueNormR1,trueNormR2,normR1,normR2
0,2.820238e-01,1.864067e-18,2.820238e-01,1.864067e-18
1,4.210488e-04,1.088892e-02,4.210488e-04,1.088892e-02
2,1.987491e-04,7.484149e-03,1.987491e-04,7.484149e-03
3,1.156232e-04,5.709213e-03,1.156232e-04,5.709213e-03
4,7.219024e-05,4.511558e-03,7.219024e-05,4.511558e-03
5,4.320337e-05,3.490345e-03,4.320337e-05,3.490345e-03
6,2.274049e-05,2.532359e-03,2.274049e-05,2.532359e-03
7,1.079136e-05,1.744507e-03,1.079136e-05,1.744507e-03
8,5.298527e-06,1.222409e-03,5.298527e-06,1.222409e-03
9,2.613674e-06,8.585518e-04,2.613674e-06,8.585518e-04
10,1.261017e-06,5.963515e-04,1.261017e-06,5.963515e-04
11,6.171670e-07,4.171995e-04,6.171670e-07,4.171995e-04
12,3.049145e-07,2.932457e-04,3.049145e-07,2.932457e-04
13,1.561883e-07,2.098780e-04,1.561883e-07,2.098780e-04
14,7.881005e-08,1.490849e-04,7.881005e-08,1.490849e-04
15,3.792024e-08,1.034138e-04,3.792024e-08,1.034138e-04
16,1.760688e-08,7.046671e-05,1.760688e-08,7.046671e-05
17,8.168484e-09,4.799695e-05,8.168484e-09,4.799695e-05
18,3.826043e-09,3.284867e-05,3.826043e-09,3.284867e-05
19,1.825537e-09,2.269020e-05,1.825537e-09,2.269020e-05
20,8.933931e-10,1.587320e-05,8.933932e-10,1.587320e-05
21,4.347795e-10,1.107332e-05,4.347796e-10,1.107332e-05
22,2.139005e-10,7.766941e-06,2.139005e-10,7.766941e-06
23,1.119041e-10,5.617827e-06,1.119041e-10,5.617827e-06
24,6.199990e-11,4.181604e-06,6.199993e-11,4.181604e-06
25,3.547392e-11,3.163046e-06,3.547397e-11,3.163046e-06
26,2.122853e-11,2.446899e-06,2.122856e-11,2.446899e-06
27,1.311920e-11,1.923617e-06,1.311927e-11,1.923617e-06
28,8.394724e-12,1.538792e-06,8.394767e-12,1.538792e-06
29,5.642085e-12,1.261573e-06,5.642115e-12,1.261573e-06
30,3.710738e-12,1.023170e-06,3.710752e-12,1.023170e-06
31,2.393022e-12,8.217393e-07,2.393059e-12,8.217393e-07
32,1.550409e-12,6.615244e-07,1.550431e-12,6.615244e-07
33,9.734328e-13,5.243025e-07,9.734538e-13,5.243025e-07
34,5.782639e-13,4.043108e-07,5.783598e-13,4.043108e-07
35,3.462578e-13,3.130592e-07,3.462476e-13,3.130592e-07
36,2.093735e-13,2.437636e-07,2.094316e-13,2.437636e-07
